Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
IJ Gould (ENG),1983-1983,18,-,-,-,-,-,-,-,-,-,-,
JP Greaves (WI),2022-2022,3,-,-,-,-,-,-,-,-,-,-,
ZE Green (NAM),2019-2023,33,-,-,-,-,-,-,-,-,-,-,
AE Greenidge (WI),1978-1978,1,-,-,-,-,-,-,-,-,-,-,
NA Greenwood (JER),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
AFG Griffith (WI),1996-2000,9,-,-,-,-,-,-,-,-,-,-,
J Gumbie (ZIM),2023-2023,7,-,-,-,-,-,-,-,-,-,-,
R Gunasekera (CAN),2008-2014,19,-,-,-,-,-,-,-,-,-,-,
AAW Gunawardena (SL),1994-1994,1,-,-,-,-,-,-,-,-,-,-,
DA Gunawardene (SL),1998-2006,61,-,-,-,-,-,-,-,-,-,-,
SK Gupta (KENYA),1996-2001,10,-,-,-,-,-,-,-,-,-,-,
Gurdeep Singh (KENYA),2013-2013,1,-,-,-,-,-,-,-,-,-,-,
Gursharan Singh (IND),1990-1990,1,-,-,-,-,-,-,-,-,-,-,
BJ Haddin (AUS),2001-2015,126,-,-,-,-,-,-,-,-,-,-,
BG Hadlee (NZ),1975-1975,2,-,-,-,-,-,-,-,-,-,-,
Hafizur Rahman (BAN),1986-1986,2,-,-,-,-,-,-,-,-,-,-,
Haider Ali (PAK),2020-2020,2,-,-,-,-,-,-,-,-,-,-,
SR Hain (ENG),2023-2023,2,-,-,-,-,-,-,-,-,-,-,
RS Haire (IRE),2008-2008,2,-,-,-,-,-,-,-,-,-,-,
OJ Hairs (SCOT),2010-2010,5,-,-,-,-,-,-,-,-,-,-,
AD Hales (ENG),2014-2019,70,-,-,-,-,-,-,-,-,-,-,
JD Hall (IRE),2010-2010,3,-,-,-,-,-,-,-,-,-,-,
JN Hamilton (WI),2021-2021,1,-,-,-,-,-,-,-,-,-,-,
JH Hampshire (ENG),1971-1972,3,-,-,-,-,-,-,-,-,-,-,
Hamza Tariq (CAN),2011-2014,7,-,-,-,-,-,-,-,-,-,-,
PSP Handscomb (AUS),2017-2019,22,-,-,-,-,-,-,-,-,-,-,
Harilal Shah (EAf),1975-1975,3,-,-,-,-,-,-,-,-,-,-,
Haroon Rasheed (PAK),1977-1982,12,-,-,-,-,-,-,-,-,-,-,
JV Harris (CAN),2003-2003,6,-,-,-,-,-,-,-,-,-,-,
RG Hart (NZ),2002-2002,2,-,-,-,-,-,-,-,-,-,-,
RT Hart (NZ),1985-1985,1,-,-,-,-,-,-,-,-,-,-,
BR Hartland (NZ),1992-1994,16,-,-,-,-,-,-,-,-,-,-,
Harunur Rashid (BAN),1988-1988,2,-,-,-,-,-,-,-,-,-,-,
Hasan Raza (PAK),1996-1999,16,-,-,-,-,-,-,-,-,-,-,
BF Hastings (NZ),1973-1975,11,-,-,-,-,-,-,-,-,-,-,
FC Hayes (ENG),1973-1975,6,-,-,-,-,-,-,-,-,-,-,
Hazratullah Zazai (AFG),2018-2019,16,-,-,-,-,-,-,-,-,-,-,
RGA Headley (WI),1973-1973,1,-,-,-,-,-,-,-,-,-,-,
IA Healy (AUS),1988-1997,168,-,-,-,-,-,-,-,-,-,-,
SP Heaney (CAN),2006-2006,4,-,-,-,-,-,-,-,-,-,-,
SD Heazlett (AUS),2017-2017,1,-,-,-,-,-,-,-,-,-,-,
JG Heron (ZIM),1983-1983,6,-,-,-,-,-,-,-,-,-,-,
SO Hetmyer (WI),2017-2023,50,-,-,-,-,-,-,-,-,-,-,
PD Heyn (SL),1975-1975,2,-,-,-,-,-,-,-,-,-,-,
AMJ Hilditch (AUS),1979-1985,8,-,-,-,-,-,-,-,-,-,-,
RIC Holder (WI),1993-1997,37,-,-,-,-,-,-,-,-,-,-,
KA Hope (WI),2017-2017,7,-,-,-,-,-,-,-,-,-,-,
SD Hope (WI),2016-2023,118,-,-,-,-,-,-,-,-,-,-,
GJ Hopkins (NZ),2004-2010,25,-,-,-,-,-,-,-,-,-,-,
MJ Horne (NZ),1997-2002,50,-,-,-,-,-,-,-,-,-,-,
PA Horne (NZ),1987-1987,4,-,-,-,-,-,-,-,-,-,-,
JM How (NZ),2005-2011,41,-,-,-,-,-,-,-,-,-,-,
LG Howell (NZ),1998-1998,12,-,-,-,-,-,-,-,-,-,-,
PJ Hughes (AUS),2013-2014,25,-,-,-,-,-,-,-,-,-,-,
Humayun Farhat (PAK),2001-2001,5,-,-,-,-,-,-,-,-,-,-,
GW Humpage (ENG),1981-1981,3,-,-,-,-,-,-,-,-,-,-,
N Hussain (ENG),1989-2003,88,-,-,-,-,-,-,-,-,-,-,
RO Hussain (SCOT),2006-2010,8,-,-,-,-,-,-,-,-,-,-,
KH Butt (HKG),2008-2008,2,-,-,-,-,-,-,-,-,-,-,
DP Hyatt (WI),2011-2011,9,-,-,-,-,-,-,-,-,-,-,
Ibrahim Zadran (AFG),2019-2023,21,-,-,-,-,-,-,-,-,-,-,
Ihsanullah (AFG),2017-2018,16,-,-,-,-,-,-,-,-,-,-,
Ikram Alikhil (AFG),2019-2023,14,-,-,-,-,-,-,-,-,-,-,
Imam-ul-Haq (PAK),2017-2023,68,-,-,-,-,-,-,-,-,-,-,
Imran Abbas (PAK),2000-2000,2,-,-,-,-,-,-,-,-,-,-,
Imrul Kayes (BAN),2008-2018,78,-,-,-,-,-,-,-,-,-,-,
Imtiaz Abbasi (UAE),1994-1996,7,-,-,-,-,-,-,-,-,-,-,
JP Inglis (AUS),2022-2023,9,-,-,-,-,-,-,-,-,-,-,
PJ Ingram (NZ),2010-2010,8,-,-,-,-,-,-,-,-,-,-,
IT Iqbal (KENYA),1996-1996,3,-,-,-,-,-,-,-,-,-,-,
Ishan Kishan (IND),2021-2023,27,-,-,-,-,-,-,-,-,-,-,
RD Jacobs (WI),1996-2004,147,-,-,-,-,-,-,-,-,-,-,
W Jaffer (IND),2006-2006,2,-,-,-,-,-,-,-,-,-,-,
Jahangir Alam (BAN),1997-1999,3,-,-,-,-,-,-,-,-,-,-,
Jahurul Islam (BAN),2010-2013,14,-,-,-,-,-,-,-,-,-,-,
WR James (ZIM),1992-1996,11,-,-,-,-,-,-,-,-,-,-,
PA Jaques (AUS),2006-2007,6,-,-,-,-,-,-,-,-,-,-,
RM Jariwala (USA),2022-2022,4,-,-,-,-,-,-,-,-,-,-,
Javed Omar (BAN),1995-2007,59,-,-,-,-,-,-,-,-,-,-,
Javed Qadeer (PAK),1995-1995,1,-,-,-,-,-,-,-,-,-,-,
Jawahir Shah (EAf),1975-1975,3,-,-,-,-,-,-,-,-,-,-,
RSA Jayasekera (SL),1982-1982,2,-,-,-,-,-,-,-,-,-,-,
SA Jayasinghe (SL),1979-1979,2,-,-,-,-,-,-,-,-,-,-,
HAPW Jayawardene (SL),2003-2007,6,-,-,-,-,-,-,-,-,-,-,
JW Jenner (JER),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
A Johnson (CAN),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
LR Johnson (WI),2008-2015,6,-,-,-,-,-,-,-,-,-,-,
MR Johnson (USA),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
GO Jones (ENG/PNG),2004-2014,51,-,-,-,-,-,-,-,-,-,-,
MA Jones (SCOT),2018-2022,12,-,-,-,-,-,-,-,-,-,-,
RA Jones (NZ),2003-2003,5,-,-,-,-,-,-,-,-,-,-,
C Jonker (SA),2018-2018,2,-,-,-,-,-,-,-,-,-,-,
S Jora (NEP),2019-2023,5,-,-,-,-,-,-,-,-,-,-,
SC Joseph (WI),2000-2005,13,-,-,-,-,-,-,-,-,-,-,
DI Joyce (IRE),2006-2007,3,-,-,-,-,-,-,-,-,-,-,
EC Joyce (ENG/IRE),2006-2018,78,-,-,-,-,-,-,-,-,-,-,
R Kaia (ZIM),2015-2015,1,-,-,-,-,-,-,-,-,-,-,
M Kaif (IND),2002-2006,125,-,-,-,-,-,-,-,-,-,-,
T Kaitano (ZIM),2022-2022,8,-,-,-,-,-,-,-,-,-,-,
AV Kale (IND),2003-2003,1,-,-,-,-,-,-,-,-,-,-,
RS Kaluwitharana (SL),1990-2004,189,-,-,-,-,-,-,-,-,-,-,
Kamran Akmal (PAK),2002-2017,157,-,-,-,-,-,-,-,-,-,-,
Kamran Ghulam (PAK),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
TS Kamunhukamwe (ZIM),2018-2021,7,-,-,-,-,-,-,-,-,-,-,
RB Kanhai (WI),1973-1975,7,-,-,-,-,-,-,-,-,-,-,
M Karg (NAM),2003-2003,3,-,-,-,-,-,-,-,-,-,-,
IA Karim (KENYA),2011-2014,9,-,-,-,-,-,-,-,-,-,-,
SS Karim (IND),1997-2000,34,-,-,-,-,-,-,-,-,-,-,
KD Karthik (IND),2004-2019,94,-,-,-,-,-,-,-,-,-,-,
F Kasteni (ZIM),2007-2007,3,-,-,-,-,-,-,-,-,-,-,
SM Katich (AUS),2001-2006,45,-,-,-,-,-,-,-,-,-,-,
MF Kent (AUS),1981-1981,5,-,-,-,-,-,-,-,-,-,-,
RB Kerr (AUS),1985-1985,4,-,-,-,-,-,-,-,-,-,-,
D Keulder (NAM),2003-2003,6,-,-,-,-,-,-,-,-,-,-,
RWT Key (ENG),2003-2004,5,-,-,-,-,-,-,-,-,-,-,
SP Khakurel (NEP),2018-2022,6,-,-,-,-,-,-,-,-,-,-,
Khaled Mashud (BAN),1995-2006,126,-,-,-,-,-,-,-,-,-,-,
Khalid Latif (PAK),2008-2010,5,-,-,-,-,-,-,-,-,-,-,
SC Khanna (IND),1979-1984,10,-,-,-,-,-,-,-,-,-,-,
UT Khawaja (AUS),2013-2019,40,-,-,-,-,-,-,-,-,-,-,
GK Khoda (IND),1998-1998,2,-,-,-,-,-,-,-,-,-,-,
AR Khurasiya (IND),1999-2001,12,-,-,-,-,-,-,-,-,-,-,
Khurram Manzoor (PAK),2008-2009,7,-,-,-,-,-,-,-,-,-,-,
Khurram Nawaz (OMA),2019-2019,3,-,-,-,-,-,-,-,-,-,-,
C Kieswetter (ENG),2010-2013,46,-,-,-,-,-,-,-,-,-,-,
BA King (WI),2019-2023,34,-,-,-,-,-,-,-,-,-,-,
SMH Kirmani (IND),1976-1986,49,-,-,-,-,-,-,-,-,-,-,
NR Kirton (CAN),2023-2023,3,-,-,-,-,-,-,-,-,-,-,
NV Knight (ENG),1996-2003,100,-,-,-,-,-,-,-,-,-,-,
APE Knott (ENG),1971-1977,20,-,-,-,-,-,-,-,-,-,-,
LJ Koen (SA),1997-2000,5,-,-,-,-,-,-,-,-,-,-,
JP Kotze (NAM),2019-2020,8,-,-,-,-,-,-,-,-,-,-,
P Krishnamurthy (IND),1976-1976,1,-,-,-,-,-,-,-,-,-,-,
CK Kruger (HKG),2008-2008,2,-,-,-,-,-,-,-,-,-,-,
N Kruger (NED),2011-2011,2,-,-,-,-,-,-,-,-,-,-,
DSBP Kuruppu (SL),1983-1990,54,-,-,-,-,-,-,-,-,-,-,
BM Laird (AUS),1979-1982,23,-,-,-,-,-,-,-,-,-,-,
SB Lama (HKG),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
JL Langer (AUS),1994-1997,8,-,-,-,-,-,-,-,-,-,-,
TWM Latham (NZ),2012-2023,136,-,-,-,-,-,-,-,-,-,-,
JAD Lawrenson (JER),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
WM Lawry (AUS),1971-1971,1,-,-,-,-,-,-,-,-,-,-,
WK Lees (NZ),1979-1983,31,-,-,-,-,-,-,-,-,-,-,
E Lewis (WI),2016-2021,57,-,-,-,-,-,-,-,-,-,-,
GFJ Liebenberg (SA),1995-1998,4,-,-,-,-,-,-,-,-,-,-,
Litton Das (BAN),2015-2023,79,-,-,-,-,-,-,-,-,-,-,
GD Lloyd (ENG),1996-1998,6,-,-,-,-,-,-,-,-,-,-,
TA Lloyd (ENG),1984-1984,3,-,-,-,-,-,-,-,-,-,-,
DR Lockhart (SCOT),2006-2010,14,-,-,-,-,-,-,-,-,-,-,
L Louwrens (NAM),2022-2023,23,-,-,-,-,-,-,-,-,-,-,
JD Love (ENG),1981-1981,3,-,-,-,-,-,-,-,-,-,-,
Lovepreet Singh (UAE),2023-2023,2,-,-,-,-,-,-,-,-,-,-,
MB Loye (ENG),2007-2007,7,-,-,-,-,-,-,-,-,-,-,
BW Luckhurst (ENG),1975-1975,3,-,-,-,-,-,-,-,-,-,-,
MJ Lumb (ENG),2014-2014,3,-,-,-,-,-,-,-,-,-,-,
MA Lynch (ENG),1988-1988,3,-,-,-,-,-,-,-,-,-,-,
CA Lynn (AUS),2017-2018,4,-,-,-,-,-,-,-,-,-,-,
C McAuslan (HKG),2017-2017,2,-,-,-,-,-,-,-,-,-,-,
NFI McCallum (SCOT),2006-2011,43,-,-,-,-,-,-,-,-,-,-,
RB McCosker (AUS),1975-1982,14,-,-,-,-,-,-,-,-,-,-,
BB McCullum (NZ),2002-2016,260,-,-,-,-,-,-,-,-,-,-,
BR McDermott (AUS),2021-2022,5,-,-,-,-,-,-,-,-,-,-,
PD McGlashan (NZ),2009-2009,4,-,-,-,-,-,-,-,-,-,-,
PD Machhi (OMA),2021-2021,1,-,-,-,-,-,-,-,-,-,-,
TSS Mackintosh (SCOT),2023-2023,10,-,-,-,-,-,-,-,-,-,-,
JA Maclean (AUS),1979-1979,2,-,-,-,-,-,-,-,-,-,-,
H McLeod (EAf),1975-1975,2,-,-,-,-,-,-,-,-,-,-,
NJ MacRae (SCOT),2006-2006,2,-,-,-,-,-,-,-,-,-,-,
EB McSweeney (NZ),1986-1987,16,-,-,-,-,-,-,-,-,-,-,
C Madande (ZIM),2022-2023,9,-,-,-,-,-,-,-,-,-,-,
DL Maddy (ENG),1998-2000,8,-,-,-,-,-,-,-,-,-,-,
TN Madondo (ZIM),1998-2001,13,-,-,-,-,-,-,-,-,-,-,
Mahbubur Rahman (BAN),1999-1999,1,-,-,-,-,-,-,-,-,-,-,
JP Maher (AUS),1998-2003,26,-,-,-,-,-,-,-,-,-,-,
Mahmood Hamid (PAK),1995-1995,1,-,-,-,-,-,-,-,-,-,-,
JN Malan (SA),2020-2022,23,-,-,-,-,-,-,-,-,-,-,
GA Manou (AUS),2009-2009,4,-,-,-,-,-,-,-,-,-,-,
A Maregwede (ZIM),2003-2005,11,-,-,-,-,-,-,-,-,-,-,
RW Marsh (AUS),1971-1984,92,-,-,-,-,-,-,-,-,-,-,
SE Marsh (AUS),2008-2019,73,-,-,-,-,-,-,-,-,-,-,
CA Marshall (CAN),1979-1979,2,-,-,-,-,-,-,-,-,-,-,
HJH Marshall (NZ),2003-2007,66,-,-,-,-,-,-,-,-,-,-,
JAH Marshall (NZ),2005-2008,10,-,-,-,-,-,-,-,-,-,-,
JJ Martin (IND),1999-2001,10,-,-,-,-,-,-,-,-,-,-,
T Marumani (ZIM),2021-2023,12,-,-,-,-,-,-,-,-,-,-,
Masood Iqbal (PAK),1984-1984,1,-,-,-,-,-,-,-,-,-,-,
SJ Massiah (USA),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
EH Mattis (WI),1981-1981,2,-,-,-,-,-,-,-,-,-,-,
BM Mauricette (CAN),1979-1979,3,-,-,-,-,-,-,-,-,-,-,
TMK Mawoyo (ZIM),2006-2014,7,-,-,-,-,-,-,-,-,-,-,
MP Maynard (ENG),1994-2000,14,-,-,-,-,-,-,-,-,-,-,
RD McCann (IRE),2010-2010,8,-,-,-,-,-,-,-,-,-,-,
JA McCollum (IRE),2019-2021,10,-,-,-,-,-,-,-,-,-,-,
SS McKechnie (HKG),2017-2018,8,-,-,-,-,-,-,-,-,-,-,
V Mehra (UAE),1994-1996,6,-,-,-,-,-,-,-,-,-,-,
PS Mehta (EAf),1975-1975,1,-,-,-,-,-,-,-,-,-,-,
LRD Mendis (SL),1975-1989,79,-,-,-,-,-,-,-,-,-,-,
MC Mendis (SL),1995-1995,1,-,-,-,-,-,-,-,-,-,-,
DA Miller (SA),2010-2023,162,-,-,-,-,-,-,-,-,-,-,
DA Minors (BER),2006-2007,20,-,-,-,-,-,-,-,-,-,-,
Mohammad Aslam (UAE),1996-1996,4,-,-,-,-,-,-,-,-,-,-,
Mohammad Haris (PAK),2022-2023,6,-,-,-,-,-,-,-,-,-,-,
Mohammad Iqbal (CAN),2007-2008,5,-,-,-,-,-,-,-,-,-,-,
Mohammad Ishaq (UAE),1994-1996,5,-,-,-,-,-,-,-,-,-,-,
Mohammad Naim (BAN),2020-2023,8,-,-,-,-,-,-,-,-,-,-,
Mohammad Rizwan (PAK),2015-2023,67,-,-,-,-,-,-,-,-,-,-,
Mohammad Salim (BAN),2003-2003,1,-,-,-,-,-,-,-,-,-,-,
Mohammad Salman (PAK),2011-2011,7,-,-,-,-,-,-,-,-,-,-,
Mohammad Shahzad (AFG),2009-2019,84,-,-,-,-,-,-,-,-,-,-,
Mohammad Wasim (PAK),1996-2000,25,-,-,-,-,-,-,-,-,-,-,
Mohibullah Oryakhel (AFG),2013-2013,2,-,-,-,-,-,-,-,-,-,-,
Moin-ul-Atiq (PAK),1988-1989,5,-,-,-,-,-,-,-,-,-,-,
Moin Khan (PAK),1990-2004,219,-,-,-,-,-,-,-,-,-,-,
NR Mongia (IND),1994-2000,140,-,-,-,-,-,-,-,-,-,-,
Moniruzzaman (BAN),2003-2003,2,-,-,-,-,-,-,-,-,-,-,
PJ Moor (ZIM),2014-2019,49,-,-,-,-,-,-,-,-,-,-,
KS More (IND),1984-1993,94,-,-,-,-,-,-,-,-,-,-,
VV Morea (PNG),2014-2018,13,-,-,-,-,-,-,-,-,-,-,
DWO Morgan (BER),2006-2006,2,-,-,-,-,-,-,-,-,-,-,
EJG Morgan (ENG/IRE),2006-2022,248,-,-,-,-,-,-,-,-,-,-,
JE Morris (ENG),1990-1991,8,-,-,-,-,-,-,-,-,-,-,
JK Moss (AUS),1979-1979,1,-,-,-,-,-,-,-,-,-,-,
MD Moxon (ENG),1985-1988,8,-,-,-,-,-,-,-,-,-,-,
TV Mufambisi (ZIM),2006-2007,6,-,-,-,-,-,-,-,-,-,-,
Muhammad Usman (UAE),2016-2022,38,-,-,-,-,-,-,-,-,-,-,
SR Mukkamalla (USA),2022-2023,17,-,-,-,-,-,-,-,-,-,-,
AA Mulla (CAN),2006-2009,24,-,-,-,-,-,-,-,-,-,-,
EMDY Munaweera (SL),2017-2017,2,-,-,-,-,-,-,-,-,-,-,
HG Munsey (SCOT),2017-2023,53,-,-,-,-,-,-,-,-,-,-,
GB Murgatroyd (NAM),2003-2003,6,-,-,-,-,-,-,-,-,-,-,
D Murphy (SCOT),2013-2013,8,-,-,-,-,-,-,-,-,-,-,
DA Murray (WI),1973-1981,10,-,-,-,-,-,-,-,-,-,-,
DJ Murray (NZ),1994-1994,1,-,-,-,-,-,-,-,-,-,-,
DL Murray (WI),1973-1980,26,-,-,-,-,-,-,-,-,-,-,
JR Murray (WI),1992-1999,55,-,-,-,-,-,-,-,-,-,-,
R Murray (ZIM),2018-2018,5,-,-,-,-,-,-,-,-,-,-,
Musa Ahmed (NED),2021-2023,13,-,-,-,-,-,-,-,-,-,-,
Mushfiqur Rahim (BAN),2006-2023,258,-,-,-,-,-,-,-,-,-,-,
P Mustard (ENG),2007-2008,10,-,-,-,-,-,-,-,-,-,-,
F Mutizwa (ZIM),2009-2011,17,-,-,-,-,-,-,-,-,-,-,
R Mutumbami (ZIM),2014-2020,36,-,-,-,-,-,-,-,-,-,-,
SJ Myburgh (NED),2011-2022,22,-,-,-,-,-,-,-,-,-,-,
G Mylvaganam (UAE),1996-1996,3,-,-,-,-,-,-,-,-,-,-,
Naeemuddin Aslam (UAE),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
Nafees Iqbal (BAN),2003-2005,16,-,-,-,-,-,-,-,-,-,-,
SS Naik (IND),1974-1974,2,-,-,-,-,-,-,-,-,-,-,
KK Nair (IND),2016-2016,2,-,-,-,-,-,-,-,-,-,-,
Najeeb Tarakai (AFG),2017-2017,1,-,-,-,-,-,-,-,-,-,-,
Naseem Khushi (OMA),2020-2023,32,-,-,-,-,-,-,-,-,-,-,
Nasim-ul-Ghani (PAK),1973-1973,1,-,-,-,-,-,-,-,-,-,-,
Nasir Ahmed (BAN),1988-1990,7,-,-,-,-,-,-,-,-,-,-,
Nasir Hameed (HKG),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
Nasir Jamshed (PAK),2008-2015,48,-,-,-,-,-,-,-,-,-,-,
Nasir Javed (USA),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
Naumanullah (PAK),2008-2008,1,-,-,-,-,-,-,-,-,-,-,
MN Nawaz (SL),1998-2002,3,-,-,-,-,-,-,-,-,-,-,
LR Naylor (SCOT),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
Nazimuddin (BAN),2008-2012,11,-,-,-,-,-,-,-,-,-,-,
CJ Nevin (NZ),2000-2003,37,-,-,-,-,-,-,-,-,-,-,
HM Nicholls (NZ),2015-2023,72,-,-,-,-,-,-,-,-,-,-,
P Nissanka (SL),2021-2023,42,-,-,-,-,-,-,-,-,-,-,
PA Nixon (ENG),2007-2007,19,-,-,-,-,-,-,-,-,-,-,
Noor-ul-Haq (AFG),2010-2010,2,-,-,-,-,-,-,-,-,-,-,
Noor Ali Zadran (AFG),2009-2019,51,-,-,-,-,-,-,-,-,-,-,
Nurul Abedin (BAN),1986-1990,4,-,-,-,-,-,-,-,-,-,-,
Nurul Hasan (BAN),2016-2023,7,-,-,-,-,-,-,-,-,-,-,
AA Obanda (KENYA),2007-2014,49,-,-,-,-,-,-,-,-,-,-,
NJ O'Brien (IRE),2006-2018,103,-,-,-,-,-,-,-,-,-,-,
DO Obuya (KENYA),2001-2012,74,-,-,-,-,-,-,-,-,-,-,
NV Ojha (IND),2010-2010,1,-,-,-,-,-,-,-,-,-,-,
KY Ottley (WI),2021-2021,2,-,-,-,-,-,-,-,-,-,-,
MA Ouma (KENYA),2004-2014,80,-,-,-,-,-,-,-,-,-,-,
TD Paine (AUS),2009-2018,35,-,-,-,-,-,-,-,-,-,-,
SJ Palframan (SA),1996-1996,7,-,-,-,-,-,-,-,-,-,-,
MK Pandey (IND),2015-2021,29,-,-,-,-,-,-,-,-,-,-,
CS Pandit (IND),1986-1992,36,-,-,-,-,-,-,-,-,-,-,
RR Pant (IND),2018-2022,30,-,-,-,-,-,-,-,-,-,-,
MHW Papps (NZ),2004-2005,6,-,-,-,-,-,-,-,-,-,-,
JV Paranjpe (IND),1998-1998,4,-,-,-,-,-,-,-,-,-,-,
BA Parchment (WI),2007-2008,7,-,-,-,-,-,-,-,-,-,-,
GAHM Parkar (IND),1982-1984,10,-,-,-,-,-,-,-,-,-,-,
NM Parker (NZ),1976-1976,1,-,-,-,-,-,-,-,-,-,-,
AC Parore (NZ),1992-2002,179,-,-,-,-,-,-,-,-,-,-,
BP Patel (IND),1974-1979,10,-,-,-,-,-,-,-,-,-,-,
MD Patel (USA),2019-2023,47,-,-,-,-,-,-,-,-,-,-,
ML Patel (KENYA),2004-2006,3,-,-,-,-,-,-,-,-,-,-,
PA Patel (IND),2003-2012,38,-,-,-,-,-,-,-,-,-,-,
GA Paterson (ZIM),1983-1987,10,-,-,-,-,-,-,-,-,-,-,
SP Patil (UAE),2014-2015,13,-,-,-,-,-,-,-,-,-,-,
BMW Patterson (SCOT),1999-1999,3,-,-,-,-,-,-,-,-,-,-,
TRO Payne (WI),1984-1987,7,-,-,-,-,-,-,-,-,-,-,
GE Peckover (ZIM),1983-1983,3,-,-,-,-,-,-,-,-,-,-,
MDKJ Perera (SL),2013-2023,111,-,-,-,-,-,-,-,-,-,-,
PARP Perera (SL),2019-2019,2,-,-,-,-,-,-,-,-,-,-,
MJ Petrie (SCOT),2009-2009,4,-,-,-,-,-,-,-,-,-,-,
IL Philip (SCOT),1999-1999,3,-,-,-,-,-,-,-,-,-,-,
JR Philippe (AUS),2021-2021,3,-,-,-,-,-,-,-,-,-,-,
WB Phillips (AUS),1982-1986,48,-,-,-,-,-,-,-,-,-,-,
AR Pitcher (BER),2006-2007,4,-,-,-,-,-,-,-,-,-,-,
V Pollard (NZ),1973-1974,3,-,-,-,-,-,-,-,-,-,-,
RH Poonawala (UAE),1994-1994,2,-,-,-,-,-,-,-,-,-,-,
NS Poonia (SCOT),2006-2009,21,-,-,-,-,-,-,-,-,-,-,
WTS Porterfield (IRE),2006-2022,148,-,-,-,-,-,-,-,-,-,-,
N Pothas (SA),2000-2000,3,-,-,-,-,-,-,-,-,-,-,
KOA Powell (WI),2009-2018,46,-,-,-,-,-,-,-,-,-,-,
AD Poynter (IRE),2008-2014,19,-,-,-,-,-,-,-,-,-,-,
SW Poynter (IRE),2014-2019,21,-,-,-,-,-,-,-,-,-,-,
MSK Prasad (IND),1998-1999,17,-,-,-,-,-,-,-,-,-,-,
MJ Prior (ENG),2004-2011,68,-,-,-,-,-,-,-,-,-,-,
CA Pujara (IND),2013-2014,5,-,-,-,-,-,-,-,-,-,-,
AG Puttick (SA),2005-2005,1,-,-,-,-,-,-,-,-,-,-,
AJ Pycroft (ZIM),1983-1992,20,-,-,-,-,-,-,-,-,-,-,
MR Pydanna (WI),1980-1983,3,-,-,-,-,-,-,-,-,-,-,
Qasim Umar (PAK),1983-1987,31,-,-,-,-,-,-,-,-,-,-,
CT Radley (ENG),1978-1978,4,-,-,-,-,-,-,-,-,-,-,
Rafiqul Alam (BAN),1986-1986,2,-,-,-,-,-,-,-,-,-,-,
Rafiqul Islam (BAN),2002-2002,1,-,-,-,-,-,-,-,-,-,-,
AM Rahane (IND),2011-2018,90,-,-,-,-,-,-,-,-,-,-,
Rahmanullah Gurbaz (AFG),2021-2023,28,-,-,-,-,-,-,-,-,-,-,
KL Rahul (IND),2016-2023,63,-,-,-,-,-,-,-,-,-,-,
PBB Rajapaksa (SL),2021-2021,5,-,-,-,-,-,-,-,-,-,-,
RR Ramdass (WI),2005-2005,1,-,-,-,-,-,-,-,-,-,-,
D Ramdin (WI),2005-2016,139,-,-,-,-,-,-,-,-,-,-,
DR Ramsammy (CAN),2012-2012,1,-,-,-,-,-,-,-,-,-,-,
Ramveer Rai (UAE),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
D Ranatunga (SL),1990-1990,4,-,-,-,-,-,-,-,-,-,-,
S Ranatunga (SL),1994-1996,13,-,-,-,-,-,-,-,-,-,-,
Raqibul Hasan (BAN),2008-2011,55,-,-,-,-,-,-,-,-,-,-,
Rashid Latif (PAK),1992-2003,166,-,-,-,-,-,-,-,-,-,-,
V Rathour (IND),1996-1997,7,-,-,-,-,-,-,-,-,-,-,
A Ratra (IND),2002-2002,12,-,-,-,-,-,-,-,-,-,-,
Ravinderpal Singh (CAN),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
CMW Read (ENG),2000-2006,36,-,-,-,-,-,-,-,-,-,-,
B Reddy (IND),1978-1981,3,-,-,-,-,-,-,-,-,-,-,
AJ Redmond (NZ),2009-2010,6,-,-,-,-,-,-,-,-,-,-,
RE Redmond (NZ),1973-1973,2,-,-,-,-,-,-,-,-,-,-,
IR Redpath (AUS),1971-1975,5,-,-,-,-,-,-,-,-,-,-,
JF Reid (NZ),1980-1986,25,-,-,-,-,-,-,-,-,-,-,
FL Reifer (WI),1997-2009,8,-,-,-,-,-,-,-,-,-,-,
SJ Rhodes (ENG),1989-1995,9,-,-,-,-,-,-,-,-,-,-,
Riaz Hassan (AFG),2022-2023,5,-,-,-,-,-,-,-,-,-,-,
ACL Richards (WI),2007-2007,1,-,-,-,-,-,-,-,-,-,-,
CJ Richards (ENG),1981-1988,22,-,-,-,-,-,-,-,-,-,-,
